titulo;data_inicio;data_fim;certificado;icone;carga_horaria;exercicios;certficate_auths;cod_auths
Excel: Domine o editor de planilhas mais famoso do mundo;2019-11-30;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/excel/certificate;https://www.alura.com.br/assets/api/cursos/excel.svg;14;110;https://cursos.alura.com.br/certificate/30dafa6d-523a-4773-a9f4-2d4bc8035ac4;30dafa6d-523a-4773-a9f4-2d4bc8035ac4
Matemática: Continuidade de funções e seus limites;2019-12-09;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/limites/certificate;https://www.alura.com.br/assets/api/cursos/limites.svg;8;33;https://cursos.alura.com.br/certificate/6a82be03-f476-4c27-9518-1ed35a733e26;6a82be03-f476-4c27-9518-1ed35a733e26
Matemática: Funções e seus usos;2019-12-07;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/funcoes/certificate;https://www.alura.com.br/assets/api/cursos/funcoes.svg;4;42;https://cursos.alura.com.br/certificate/c5c49582-57fd-4e9a-bf64-60348af2a622;c5c49582-57fd-4e9a-bf64-60348af2a622
Matemática: Introdução ao cálculo de derivadas;2019-12-06;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/derivadas/certificate;https://www.alura.com.br/assets/api/cursos/derivadas.svg;4;38;https://cursos.alura.com.br/certificate/858d44d0-7978-4558-9bca-a58081fbd46a;858d44d0-7978-4558-9bca-a58081fbd46a
Data Science: Primeiros passos;2019-11-28;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/data-science-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/data-science-primeiros-passos.svg;6;41;https://cursos.alura.com.br/certificate/8d50a692-5ec2-4d3c-8d29-9df0c671d3a8;8d50a692-5ec2-4d3c-8d29-9df0c671d3a8
Python 3 parte 1: Introdução à nova versão da linguagem;2019-12-10;2019-12-13;https://cursos.alura.com.br/user/viniantunes/course/python-3-introducao-a-nova-versao-da-linguagem/certificate;https://www.alura.com.br/assets/api/cursos/python-3-introducao-a-nova-versao-da-linguagem.svg;12;84;https://cursos.alura.com.br/certificate/c79ec2d7-a99f-482b-8bc6-5a93ed7aa7fb;c79ec2d7-a99f-482b-8bc6-5a93ed7aa7fb
Matemática: Introdução ao cálculo de integrais;2019-12-09;2019-12-18;https://cursos.alura.com.br/user/viniantunes/course/integrais/certificate;https://www.alura.com.br/assets/api/cursos/integrais.svg;8;39;https://cursos.alura.com.br/certificate/b1d0ac92-2f69-4c63-ae68-ad4167187b77;b1d0ac92-2f69-4c63-ae68-ad4167187b77
Python 3 parte 2: Avançando na linguagem;2019-12-13;2019-12-19;https://cursos.alura.com.br/user/viniantunes/course/python-3-avancando-na-linguagem/certificate;https://www.alura.com.br/assets/api/cursos/python-3-avancando-na-linguagem.svg;12;73;https://cursos.alura.com.br/certificate/3bd336b7-0b78-4db6-b447-14e0eb2e0b7b;3bd336b7-0b78-4db6-b447-14e0eb2e0b7b
Excel II: Tabelas dinâmicas, validação e mais funções;2019-12-19;2019-12-22;https://cursos.alura.com.br/user/viniantunes/course/excel-2/certificate;https://www.alura.com.br/assets/api/cursos/excel-2.svg;8;50;https://cursos.alura.com.br/certificate/4ef673ef-5e6a-4108-ac30-5e760c1d0f7d;4ef673ef-5e6a-4108-ac30-5e760c1d0f7d
Excel III: Avançando em funções e criando suas macros;2019-12-22;2019-12-26;https://cursos.alura.com.br/user/viniantunes/course/excel-3/certificate;https://www.alura.com.br/assets/api/cursos/excel-3.svg;8;63;https://cursos.alura.com.br/certificate/cb6fbd9d-b1fd-4c4d-98b9-1f6cb93fb9f7;cb6fbd9d-b1fd-4c4d-98b9-1f6cb93fb9f7
Python 3: Introdução a Orientação a objetos;2019-12-19;2019-12-27;https://cursos.alura.com.br/user/viniantunes/course/python-3-intro-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/python-3-intro-orientacao-objetos.svg;12;64;https://cursos.alura.com.br/certificate/c80254ee-cb9c-4696-bc80-55f1824c048b;c80254ee-cb9c-4696-bc80-55f1824c048b
Excel: Simulação e análise de cenários;2019-12-26;2019-12-28;https://cursos.alura.com.br/user/viniantunes/course/excel-simulacao-e-analise-de-cenarios/certificate;https://www.alura.com.br/assets/api/cursos/excel-simulacao-e-analise-de-cenarios.svg;6;40;https://cursos.alura.com.br/certificate/32c2115a-fe32-40c3-a098-fdbcb8fbaa3c;32c2115a-fe32-40c3-a098-fdbcb8fbaa3c
Python 3: Avançando na orientação a objetos;2019-12-28;2019-12-31;https://cursos.alura.com.br/user/viniantunes/course/python-3-avancando-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/python-3-avancando-orientacao-objetos.svg;10;62;https://cursos.alura.com.br/certificate/ac6ded8d-dbcc-43c8-9901-2697b843fa02;ac6ded8d-dbcc-43c8-9901-2697b843fa02
Hábitos: da produtividade às metas pessoais;2020-01-01;2020-01-02;https://cursos.alura.com.br/user/viniantunes/course/habitos/certificate;https://www.alura.com.br/assets/api/cursos/habitos.svg;8;67;https://cursos.alura.com.br/certificate/5e6b3b84-818d-44b3-bea5-38a3d0c2bd2f;5e6b3b84-818d-44b3-bea5-38a3d0c2bd2f
Eficácia parte 1: Hábitos para sua proatividade;2020-01-03;2020-01-04;https://cursos.alura.com.br/user/viniantunes/course/habitos-eficazes/certificate;https://www.alura.com.br/assets/api/cursos/habitos-eficazes.svg;6;56;https://cursos.alura.com.br/certificate/22c30a44-33a8-4217-888a-0ab0ea769c1c;22c30a44-33a8-4217-888a-0ab0ea769c1c
Python: Manipulação de Strings;2020-01-03;2020-01-04;https://cursos.alura.com.br/user/viniantunes/course/python-manipulando-strings/certificate;https://www.alura.com.br/assets/api/cursos/python-manipulando-strings.svg;7;40;https://cursos.alura.com.br/certificate/aa270497-c906-4613-94ca-f2ce08a57146;aa270497-c906-4613-94ca-f2ce08a57146
Lógica de programação I: Os primeiros programas com Javascript e HTML;2019-12-31;2020-01-07;https://cursos.alura.com.br/user/viniantunes/course/logica-programacao-javascript-html/certificate;https://www.alura.com.br/assets/api/cursos/logica-programacao-javascript-html.svg;16;135;https://cursos.alura.com.br/certificate/833b01a0-f7b4-4eca-ac23-666656841445;833b01a0-f7b4-4eca-ac23-666656841445
Python Collections parte 1: Listas e tuplas;2020-01-04;2020-01-10;https://cursos.alura.com.br/user/viniantunes/course/python-collections-listas-e-tuplas/certificate;https://www.alura.com.br/assets/api/cursos/python-collections-listas-e-tuplas.svg;8;49;https://cursos.alura.com.br/certificate/be1389b4-05cc-47d2-8de0-d61ad0ac2097;be1389b4-05cc-47d2-8de0-d61ad0ac2097
Eficácia parte 2: Hábitos para sua proatividade;2020-01-04;2020-01-13;https://cursos.alura.com.br/user/viniantunes/course/habitos-eficazes-2/certificate;https://www.alura.com.br/assets/api/cursos/habitos-eficazes-2.svg;4;62;https://cursos.alura.com.br/certificate/174538ad-7efb-4303-8067-56f9722b841f;174538ad-7efb-4303-8067-56f9722b841f
Python Collections parte 2: Conjuntos e dicionários;2020-01-10;2020-01-21;https://cursos.alura.com.br/user/viniantunes/course/python-collections-conjuntos-e-dicionarios/certificate;https://www.alura.com.br/assets/api/cursos/python-collections-conjuntos-e-dicionarios.svg;9;30;https://cursos.alura.com.br/certificate/a090ca7e-c625-4c68-891b-206c9b32513f;a090ca7e-c625-4c68-891b-206c9b32513f
Python Brasil: Validação de dados no padrão nacional;2020-01-21;2020-01-23;https://cursos.alura.com.br/user/viniantunes/course/python-validacao-dados/certificate;https://www.alura.com.br/assets/api/cursos/python-validacao-dados.svg;7;37;https://cursos.alura.com.br/certificate/3807e03d-e503-4ef5-8edb-9c0101468dc4;3807e03d-e503-4ef5-8edb-9c0101468dc4
Foco: Trazendo mais resultados para o dia a dia;2020-01-13;2020-01-30;https://cursos.alura.com.br/user/viniantunes/course/foco-o-poder-do-habito-seu-dia-a-dia/certificate;https://www.alura.com.br/assets/api/cursos/foco-o-poder-do-habito-seu-dia-a-dia.svg;10;66;https://cursos.alura.com.br/certificate/0991a1e8-4ed1-4007-abf2-de8301b3076e;0991a1e8-4ed1-4007-abf2-de8301b3076e
Testes automatizados: TDD com Python;2020-01-24;2020-02-02;https://cursos.alura.com.br/user/viniantunes/course/tdd-com-python/certificate;https://www.alura.com.br/assets/api/cursos/tdd-com-python.svg;6;53;https://cursos.alura.com.br/certificate/63abcaa0-6cd0-4ec1-a6ea-b58045b99519;63abcaa0-6cd0-4ec1-a6ea-b58045b99519
HTTP: Entendendo a web por baixo dos panos;2020-02-02;2020-02-08;https://cursos.alura.com.br/user/viniantunes/course/http-fundamentos/certificate;https://www.alura.com.br/assets/api/cursos/http-fundamentos.svg;14;76;https://cursos.alura.com.br/certificate/a4bc56b7-b734-4a20-8f87-cfe9bf695fae;a4bc56b7-b734-4a20-8f87-cfe9bf695fae
Lógica de programação II: pratique com desenhos, animações e um jogo;2020-02-05;2020-02-10;https://cursos.alura.com.br/user/viniantunes/course/logica-programacao-pratica-com-desenho-animacoes-em-jogo/certificate;https://www.alura.com.br/assets/api/cursos/logica-programacao-pratica-com-desenho-animacoes-em-jogo.svg;10;43;https://cursos.alura.com.br/certificate/07078ba2-cdd5-47d1-a23f-5903ced315ed;07078ba2-cdd5-47d1-a23f-5903ced315ed
HTML5 e CSS3 parte 1: A primeira página da Web;2020-02-10;2020-02-10;https://cursos.alura.com.br/user/viniantunes/course/html5-css3-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/html5-css3-primeiros-passos.svg;8;52;https://cursos.alura.com.br/certificate/e642eacc-d941-4ebb-b0df-fe45f48f5f4d;e642eacc-d941-4ebb-b0df-fe45f48f5f4d
Flask parte 1: Crie uma webapp com Python 3;2020-02-10;2020-02-12;https://cursos.alura.com.br/user/viniantunes/course/flask-rotas-templates-autenticacao/certificate;https://www.alura.com.br/assets/api/cursos/flask-rotas-templates-autenticacao.svg;16;62;https://cursos.alura.com.br/certificate/edb4453e-c0d2-4b79-8ea8-c028787f1de5;edb4453e-c0d2-4b79-8ea8-c028787f1de5
Pontos fortes parte 1: descubra os seus e aprenda a gerenciá-los;2020-01-30;2020-02-19;https://cursos.alura.com.br/user/viniantunes/course/pontos-fortes/certificate;https://www.alura.com.br/assets/api/cursos/pontos-fortes.svg;4;39;https://cursos.alura.com.br/certificate/2ffa4f6f-ccab-4eed-8423-f8cc18da436c;2ffa4f6f-ccab-4eed-8423-f8cc18da436c
Currículo: como chamar a atenção dos entrevistadores;2020-02-15;2020-02-22;https://cursos.alura.com.br/user/viniantunes/course/curriculos/certificate;https://www.alura.com.br/assets/api/cursos/curriculos.svg;6;60;https://cursos.alura.com.br/certificate/a93fdd5b-f7bc-4115-aa10-6fcb84f91ebb;a93fdd5b-f7bc-4115-aa10-6fcb84f91ebb
LinkedIn: Como fazer o seu perfil trabalhar para você;2020-02-22;2020-02-24;https://cursos.alura.com.br/user/viniantunes/course/linkedin-perfil-profissional/certificate;https://www.alura.com.br/assets/api/cursos/linkedin-perfil-profissional.svg;4;69;https://cursos.alura.com.br/certificate/ff37ba4a-9819-4d38-ab80-d9e8c968c273;ff37ba4a-9819-4d38-ab80-d9e8c968c273
Análise de dados: Introdução com Excel;2020-02-26;2020-02-26;https://cursos.alura.com.br/user/viniantunes/course/analise-de-dados-excel/certificate;https://www.alura.com.br/assets/api/cursos/analise-de-dados-excel.svg;6;35;https://cursos.alura.com.br/certificate/772011ef-0f7a-42d1-9282-5bc39537975d;772011ef-0f7a-42d1-9282-5bc39537975d
Estrutura de dados: Pilhas, filas e listas com Python;2020-02-24;2020-02-26;https://cursos.alura.com.br/user/viniantunes/course/estrutura-de-dados-python/certificate;https://www.alura.com.br/assets/api/cursos/estrutura-de-dados-python.svg;12;50;https://cursos.alura.com.br/certificate/8d6f40f1-e3f8-4db7-a465-7cbb55692028;8d6f40f1-e3f8-4db7-a465-7cbb55692028
Python para Data Science: Introdução à linguagem e Numpy;2020-02-26;2020-02-29;https://cursos.alura.com.br/user/viniantunes/course/python-tipos-listas-numpy/certificate;https://www.alura.com.br/assets/api/cursos/python-tipos-listas-numpy.svg;12;64;https://cursos.alura.com.br/certificate/88f52147-f623-428e-a498-94d16ff4eea3;88f52147-f623-428e-a498-94d16ff4eea3
Python para Data Science: Funções, Pacotes e Pandas básico;2020-02-29;2020-03-02;https://cursos.alura.com.br/user/viniantunes/course/python-funcoes-pacotes-pandas/certificate;https://www.alura.com.br/assets/api/cursos/python-funcoes-pacotes-pandas.svg;10;57;https://cursos.alura.com.br/certificate/b8d1757a-8d84-481b-ae1b-219c465ced03;b8d1757a-8d84-481b-ae1b-219c465ced03
Java JRE e JDK: Escreva o seu primeiro código com Eclipse;2020-03-06;2020-03-06;https://cursos.alura.com.br/user/viniantunes/course/java-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/java-primeiros-passos.svg;8;83;https://cursos.alura.com.br/certificate/11387258-444b-402f-a8ba-3b584fd82656;11387258-444b-402f-a8ba-3b584fd82656
Estatística com Python parte 1: Frequências e Medidas;2020-03-04;2020-03-07;https://cursos.alura.com.br/user/viniantunes/course/estatistica-distribuicoes-e-medidas/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-distribuicoes-e-medidas.svg;10;65;https://cursos.alura.com.br/certificate/fd1fb9cd-48ff-462a-9c72-5f2e7f9f33a7;fd1fb9cd-48ff-462a-9c72-5f2e7f9f33a7
Estatística com Python parte 2: Probabilidade e Amostragem;2020-03-07;2020-03-18;https://cursos.alura.com.br/user/viniantunes/course/estatistica-probabilidade-e-amostragem/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-probabilidade-e-amostragem.svg;10;73;https://cursos.alura.com.br/certificate/2d4963f6-51e6-4f35-a22a-3bbfdf83cf05;2d4963f6-51e6-4f35-a22a-3bbfdf83cf05
Python Pandas: Tratando e analisando dados;2020-03-18;2020-03-21;https://cursos.alura.com.br/user/viniantunes/course/introducao-python-pandas/certificate;https://www.alura.com.br/assets/api/cursos/introducao-python-pandas.svg;12;85;https://cursos.alura.com.br/certificate/83ecdfc5-cdf7-4bc1-9dd0-5334ddc6d8be;83ecdfc5-cdf7-4bc1-9dd0-5334ddc6d8be
Matemática: sistemas de equações algébricas lineares;2020-03-19;2020-03-22;https://cursos.alura.com.br/user/viniantunes/course/equacoes-algebricas-lineares/certificate;https://www.alura.com.br/assets/api/cursos/equacoes-algebricas-lineares.svg;10;39;https://cursos.alura.com.br/certificate/d4c297ff-afe0-4e85-a592-d003ed584d94;d4c297ff-afe0-4e85-a592-d003ed584d94
Data analysis: introdução a séries temporais e análises;2020-03-25;2020-03-31;https://cursos.alura.com.br/user/viniantunes/course/data-analysis-trabalhando-com-dados/certificate;https://www.alura.com.br/assets/api/cursos/data-analysis-trabalhando-com-dados.svg;8;59;https://cursos.alura.com.br/certificate/f24d6d33-7a42-4e29-8684-17a22afb5c1d;f24d6d33-7a42-4e29-8684-17a22afb5c1d
Regressão Linear: Testando Relações e Prevendo Resultados;2020-03-31;2020-04-07;https://cursos.alura.com.br/user/viniantunes/course/data-science-modelo-regressao-linear/certificate;https://www.alura.com.br/assets/api/cursos/data-science-modelo-regressao-linear.svg;12;66;https://cursos.alura.com.br/certificate/7c37d1b2-950e-4588-8eda-69f66e1e7b68;7c37d1b2-950e-4588-8eda-69f66e1e7b68
Regressão Linear: Técnicas Avançadas de Modelagem;2020-04-07;2020-04-09;https://cursos.alura.com.br/user/viniantunes/course/data-science-modelo-regressao-linear-assimetria-statsmodel/certificate;https://www.alura.com.br/assets/api/cursos/data-science-modelo-regressao-linear-assimetria-statsmodel.svg;5;48;https://cursos.alura.com.br/certificate/2f072cb1-f105-4c53-bae0-130580f63a05;2f072cb1-f105-4c53-bae0-130580f63a05
Data Science: Modelos de regressão por baixo dos panos;2020-04-11;2020-04-14;https://cursos.alura.com.br/user/viniantunes/course/data-science-regressao-linear/certificate;https://www.alura.com.br/assets/api/cursos/data-science-regressao-linear.svg;6;42;https://cursos.alura.com.br/certificate/003cc5d4-fe44-4626-b88f-d97810d60f3b;003cc5d4-fe44-4626-b88f-d97810d60f3b
Estatística com Python parte 3: Testes de hipóteses;2020-03-19;2020-04-14;https://cursos.alura.com.br/user/viniantunes/course/estatistica-testes-hipotestes/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-testes-hipotestes.svg;10;65;https://cursos.alura.com.br/certificate/062683a5-658c-437e-9f79-00d56da1d622;062683a5-658c-437e-9f79-00d56da1d622
Python para Data Science: Primeiros passos;2020-05-24;2020-05-24;https://cursos.alura.com.br/user/viniantunes/course/python-intro/certificate;https://www.alura.com.br/assets/api/cursos/python-intro.svg;10;43;https://cursos.alura.com.br/certificate/75953aae-3d94-4e24-ad41-94c421459d3a;75953aae-3d94-4e24-ad41-94c421459d3a
Pandas: Formatos diferentes de entrada e saída (IO);2020-05-24;2020-05-25;https://cursos.alura.com.br/user/viniantunes/course/pandas-io/certificate;https://www.alura.com.br/assets/api/cursos/pandas-io.svg;6;29;https://cursos.alura.com.br/certificate/115c094b-bc2d-42cf-bada-a713bfbc9642;115c094b-bc2d-42cf-bada-a713bfbc9642
Data Visualization parte 1: introdução ao design de gráficos;2020-05-13;2020-05-26;https://cursos.alura.com.br/user/viniantunes/course/data-visualization/certificate;https://www.alura.com.br/assets/api/cursos/data-visualization.svg;15;52;https://cursos.alura.com.br/certificate/39b6e56d-14e9-4869-8e2a-ff352dc6627f;39b6e56d-14e9-4869-8e2a-ff352dc6627f
Data Visualization parte 2: Escolhendo o melhor gráfico;2020-05-26;2020-05-29;https://cursos.alura.com.br/user/viniantunes/course/data-visualization-escolhendo-melhor-grafico/certificate;https://www.alura.com.br/assets/api/cursos/data-visualization-escolhendo-melhor-grafico.svg;6;48;https://cursos.alura.com.br/certificate/35f1252b-0fad-4a75-be96-f0feb5c22fec;35f1252b-0fad-4a75-be96-f0feb5c22fec
Data Visualization: Explorando com Seaborn;2020-05-29;2020-05-30;https://cursos.alura.com.br/user/viniantunes/course/data-visualization-com-seaborn/certificate;https://www.alura.com.br/assets/api/cursos/data-visualization-com-seaborn.svg;6;34;https://cursos.alura.com.br/certificate/ddf55fe8-cc08-4e66-8ad9-fe2dc49f5eab;ddf55fe8-cc08-4e66-8ad9-fe2dc49f5eab
Data Science: Introdução a análise de series temporais;2020-05-30;2020-05-31;https://cursos.alura.com.br/user/viniantunes/course/data-science-series-temporais/certificate;https://www.alura.com.br/assets/api/cursos/data-science-series-temporais.svg;6;31;https://cursos.alura.com.br/certificate/44f4f0e2-2050-48ce-9339-68fcf84b40c7;44f4f0e2-2050-48ce-9339-68fcf84b40c7
Python Scikit-Learn: regressão, classificação e clustering;2020-05-31;2020-06-04;https://cursos.alura.com.br/user/viniantunes/course/scikit-learn-regressao-classificacao-clustering/certificate;https://www.alura.com.br/assets/api/cursos/scikit-learn-regressao-classificacao-clustering.svg;10;41;https://cursos.alura.com.br/certificate/e3dda08e-d1b3-40e4-9fcf-89aa220629b7;e3dda08e-d1b3-40e4-9fcf-89aa220629b7
Corretor Ortográfico em Python: Aplicando técnicas de NLP;2020-06-04;2020-06-05;https://cursos.alura.com.br/user/viniantunes/course/nlp-corretor-ortografico/certificate;https://www.alura.com.br/assets/api/cursos/nlp-corretor-ortografico.svg;10;65;https://cursos.alura.com.br/certificate/c99a6fa3-2550-43db-a8ec-a9629950706c;c99a6fa3-2550-43db-a8ec-a9629950706c
Engenharia de dados: Conceitos para Gestores;2020-05-25;2020-06-14;https://cursos.alura.com.br/user/viniantunes/course/intro-engenharia-de-dados/certificate;https://www.alura.com.br/assets/api/cursos/intro-engenharia-de-dados.svg;10;33;https://cursos.alura.com.br/certificate/5eda8b64-8ac3-49f8-ab86-7e3c289c4326;5eda8b64-8ac3-49f8-ab86-7e3c289c4326
Matemática: Operações com Matrizes;2020-06-24;2020-06-24;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-matrizes/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-matrizes.svg;8;35;https://cursos.alura.com.br/certificate/80fb1460-6dce-43e8-b627-34b1e7b01cc5;80fb1460-6dce-43e8-b627-34b1e7b01cc5
Data Analytics: Machine Learning no Marketing Digital;2020-06-13;2020-06-28;https://cursos.alura.com.br/user/viniantunes/course/machine-learning-marketing-digital/certificate;https://www.alura.com.br/assets/api/cursos/machine-learning-marketing-digital.svg;16;44;https://cursos.alura.com.br/certificate/59af1363-d54e-43f9-b784-416e1fcf8ed3;59af1363-d54e-43f9-b784-416e1fcf8ed3
Modelos Matemáticos: usando Funções no R^n;2020-06-24;2020-06-28;https://cursos.alura.com.br/user/viniantunes/course/modelos-matematicos-funcao-rn/certificate;https://www.alura.com.br/assets/api/cursos/modelos-matematicos-funcao-rn.svg;3;36;https://cursos.alura.com.br/certificate/b59d1c92-5c28-47fe-b905-fc6bb190eb45;b59d1c92-5c28-47fe-b905-fc6bb190eb45
Marketing digital: Fundamentos para seu planejamento on-line;2020-07-04;2020-07-25;https://cursos.alura.com.br/user/viniantunes/course/fundamentos-market-digital/certificate;https://www.alura.com.br/assets/api/cursos/fundamentos-market-digital.svg;12;43;https://cursos.alura.com.br/certificate/fefd2e64-6940-4dec-bde1-764dca346b34;fefd2e64-6940-4dec-bde1-764dca346b34
Machine Learning: Introdução a classificação com SKLearn;2020-06-28;2020-09-13;https://cursos.alura.com.br/user/viniantunes/course/machine-learning-introducao-a-classificacao-com-sklearn/certificate;https://www.alura.com.br/assets/api/cursos/machine-learning-introducao-a-classificacao-com-sklearn.svg;8;38;https://cursos.alura.com.br/certificate/07b085f0-da25-4024-a616-c511a39cb126;07b085f0-da25-4024-a616-c511a39cb126
Java OO: Introdução à Orientação a Objetos;2020-09-16;2020-09-19;https://cursos.alura.com.br/user/viniantunes/course/java-introducao-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/java-introducao-orientacao-objetos.svg;8;58;https://cursos.alura.com.br/certificate/07046a2e-799f-4960-ac6c-b6dc85b44921;07046a2e-799f-4960-ac6c-b6dc85b44921
Branding: Criando uma marca forte;2020-07-26;2020-09-25;https://cursos.alura.com.br/user/viniantunes/course/branding/certificate;https://www.alura.com.br/assets/api/cursos/branding.svg;8;58;https://cursos.alura.com.br/certificate/8fb0d8ee-3769-4cac-a055-c278c40e294b;8fb0d8ee-3769-4cac-a055-c278c40e294b
Java Polimorfismo: Entenda herança e interfaces;2020-09-19;2020-10-03;https://cursos.alura.com.br/user/viniantunes/course/java-heranca-interfaces-polimorfismo/certificate;https://www.alura.com.br/assets/api/cursos/java-heranca-interfaces-polimorfismo.svg;16;74;https://cursos.alura.com.br/certificate/2b1695de-bff8-486e-af6b-2bf89cb68d2a;2b1695de-bff8-486e-af6b-2bf89cb68d2a
Matemática: derivadas no Rn;2020-06-28;2020-10-10;https://cursos.alura.com.br/user/viniantunes/course/matematica-derivadas-rn/certificate;https://www.alura.com.br/assets/api/cursos/matematica-derivadas-rn.svg;8;45;https://cursos.alura.com.br/certificate/3530661b-3df6-401d-919f-a0a3772fc5a3;3530661b-3df6-401d-919f-a0a3772fc5a3
Java Exceções: Aprenda a criar, lançar e controlar exceções;2020-10-03;2020-10-10;https://cursos.alura.com.br/user/viniantunes/course/java-excecoes/certificate;https://www.alura.com.br/assets/api/cursos/java-excecoes.svg;12;62;https://cursos.alura.com.br/certificate/33ba245f-f617-4568-8715-150d36776974;33ba245f-f617-4568-8715-150d36776974
Scraping com Python: Coleta de dados na web;2021-01-02;2021-01-02;https://cursos.alura.com.br/user/viniantunes/course/web-scraping-data-science-python/certificate;https://www.alura.com.br/assets/api/cursos/web-scraping-data-science-python.svg;10;69;https://cursos.alura.com.br/certificate/7b99520b-d4f5-46b7-a315-0189154a09be;7b99520b-d4f5-46b7-a315-0189154a09be
Machine Learning: Intro a sistemas de recomendação em Python;2020-12-18;2021-01-04;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-sistemas-de-recomendacao-com-python/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-sistemas-de-recomendacao-com-python.svg;8;40;https://cursos.alura.com.br/certificate/e11e8642-c9e3-486b-b101-2ec21dc07a60;e11e8642-c9e3-486b-b101-2ec21dc07a60
Data Science: Introdução a testes estatísticos com Python;2021-02-04;2021-02-07;https://cursos.alura.com.br/user/viniantunes/course/data-science-introducao-a-testes-estatisticos-com-python/certificate;https://www.alura.com.br/assets/api/cursos/data-science-introducao-a-testes-estatisticos-com-python.svg;6;43;https://cursos.alura.com.br/certificate/afd0c391-fccf-45c4-bb64-16067336af48;afd0c391-fccf-45c4-bb64-16067336af48
Introdução à experimentação: Análise de experimentos.;2021-02-07;2021-02-14;https://cursos.alura.com.br/user/viniantunes/course/analise-de-experimentos/certificate;https://www.alura.com.br/assets/api/cursos/analise-de-experimentos.svg;6;49;https://cursos.alura.com.br/certificate/78de0a88-d8b1-4b10-83a6-38f6a5b1648e;78de0a88-d8b1-4b10-83a6-38f6a5b1648e
Estatística com Python parte 4: Correlação e Regressão;2021-02-14;2021-04-05;https://cursos.alura.com.br/user/viniantunes/course/estatistica-correlacao-regressao/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-correlacao-regressao.svg;10;56;https://cursos.alura.com.br/certificate/f0fc4865-2a29-4d29-8c8c-31ffbb0cc5b3;f0fc4865-2a29-4d29-8c8c-31ffbb0cc5b3
Machine Learning: Classificação por trás dos panos;2021-04-06;2021-04-08;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-machine-learning-com-classificacao/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-machine-learning-com-classificacao.svg;10;93;https://cursos.alura.com.br/certificate/2fca5153-2ad6-47d0-bc1f-e39037b94f28;2fca5153-2ad6-47d0-bc1f-e39037b94f28
